ID,Name,EnglishName,Abbreviation,DirectorateID,Directorate,OracleCode,OracleAreaCode,BedCapacity,TemporaryBeds,DeliveryUnit,CityID,City,TypeID,Type,CategoryID,Category,GroupID,Group,InititalBedCapacity,OverallBedCapacity,OpeningYear,NewTransferYear,Operation,Classification,BuildingStatus,LastUpdated,PhotoExtenstion,Phone,Fax,HospitalManagerUserName,Email,WebSite,Long,Lat,Longitude,Latitude,Icon,ImageUrl,WorkingHours
53,مستشفى الملك فهد بجدة,King Fahad Hospital,KFHJED,1,,20001,26,628,288,0,5,جدة,1,,2,,1,,711,1077,1399,1399,3,2,2,2023-11-12T16:37:56.417,,00966126606111,00966126697047,,jed-hos-kfh@moh.gov.sa,,,,39.16660309,21.54332967,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
54,مستشفى الملك عبد العزيز,King Abdulaziz Hospital,KAHOC,1,,,26,436,178,1,5,جدة,1,,1,,1,,425,,1410,1410,2,2,2,2024-11-03T12:09:55.983,,00966126375555,00966126364674,,jed-hos-kah@moh.gov.sa,,,,39.20670748,21.44424117,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
55,مستشفى الولادة والأطفال بالمساعدية,Maternity and Children Hospital Musaediyah,MCH,1,,20004,26,254,310,1,5,جدة,1,,3,,1,,206,516,1397,0,1,1,4,2022-01-18T09:40:34.667,,00966126652600,00966126653517,smaqel,jed-hos-mch@moh.gov.sa,,,,39.17288784,21.53915327,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
56,مستشفى العيون بجدة,Ophthalmology Hospital,OH,1,,20005,26,85,10,0,5,جدة,1,,4,,1,,80,90,1370,1409,1,1,3,2024-11-03T11:16:44.217,,00966126939998,00966126930307,,JED-HOS-OH@MOH.GOV.SA,,,,39.21518326,21.57865217,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
57,مستشفى الملك سعود,King Sauod Hospital,KSH,1,,20016,26,0,10,0,5,جدة,1,,4,,1,,80,90,,,1,2,,2017-04-19T09:50:40.173,,00966126225089,00966126226177,,,,,,39.1224521,21.66589411,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
58,مستشفى العزيزية للأطفال,Azizia Children's Hospital,AMCH,1,,20013,26,100,36,1,5,جدة,1,,3,,1,,100,136,1409,1409,1,1,4,2025-03-18T11:35:34.13,,00966126729092,00966126719527,,Jed-hos-amch@moh.gov.sa,,,,39.20745598,21.55772083,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
59,مجمع إرادة والصحة النفسية بجدة,Mental Health Hospital,MHH,1,,20007,26,125,6,0,5,جدة,1,,4,,1,,125,131,1409,1409,2,1,3,2023-11-12T16:46:03.693,,00966126361078,00966126361061,,JED-HOS-MHH@moh.gov.sa,,,,39.20437396,21.44253853,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
60,مستشفى الأمل بجدة,Al Amal Mental Health Complex,AMHC,1,,20901,26,210,10,0,5,جدة,1,,4,,1,,210,,1412,1412,2,1,2,2024-10-22T12:41:05.64,,00966126544293,00966126549882,KALOUFI,aialzahrani@moh.gov.sa,,,,39.1487303,21.62828703,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
61,مستشفى الثغر العام,Al Thaghr Hospital,ALTH,1,,20006,26,100,30,1,5,جدة,1,,1,,1,,100,130,1404,1404,1,2,2,2023-11-12T16:44:46.847,,00966126202333,00966126205570,,jed-alth-hg@moh.gov.sav,,,,39.30240057,21.44016702,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
62,مستشفى رابغ العام ,Rabigh General Hospital,RABG,1,,20003,26,120,15,1,169,رابغ,1,,1,,1,,120,135,1405,0,1,2,3,2023-11-12T16:41:32.57,,00966124232644,00966124221620,,jed-hos-rh@moh.gov.sa,,,,39.03383955,22.77389605,https://eservices.moh.gov.sa/hospitals/assets/Styles/assets/global/img/hospital.png,,
